채널,메시지프레이밍,메시지소구,광고모델, 클릭율 
IG,이득(향상적),이성적,일반인,2.40%
FB,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,일반인,4.50%
IG,이득(향상적),이성적,캐릭터,2.40%
IG,이득(향상적),이성적,전문가,1.40%
IG,이득(향상적),감성적,일반인,1.90%
FB,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,1.50%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,1.20%
FB,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,1.80%
IG,이득(향상적),이성적,일반인,1.30%
IG,이득(향상적),이성적,전문가,2.20%
FB,이득(향상적),이성적,전문가,1.50%
IG,이득(향상적),이성적,일반인,1.00%
FB,이득(향상적),이성적,일반인,1.40%
IG,손실(예방적),감성적,일반인,4.70%
FB,손실(예방적),감성적,일반인,2.10%
IG,손실(예방적),감성적,일반인,2.40%
FB,손실(예방적),감성적,일반인,1.20%
IG,손실(예방적),감성적,일반인,2.80%
FB,손실(예방적),감성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,4.40%
FB,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),감성적,일반인,3.80%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),감성적,일반인,1.60%
FB,이득(향상적),이성적,일반인,1.30%
IG,이득(향상적),이성적,일반인,1.50%
FB,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,2.20%
IG,이득(향상적),이성적,캐릭터,2.00%
FB,이득(향상적),이성적,캐릭터,1.00%
IG,손실(예방적),감성적,캐릭터,2.60%
FB,손실(예방적),감성적,캐릭터,1.70%
IG,이득(향상적),이성적,캐릭터,4.10%
FB,이득(향상적),이성적,캐릭터,3.00%
IG,이득(향상적),이성적,캐릭터,2.60%
FB,이득(향상적),이성적,캐릭터,2.30%
IG,이득(향상적),이성적,일반인,1.90%
FB,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),이성적,전문가,1.80%
IG,이득(향상적),이성적,전문가,1.30%
IG,이득(향상적),감성적,일반인,1.70%
FB,이득(향상적),감성적,일반인,2.80%
IG,이득(향상적),감성적,일반인,3.40%
IG,이득(향상적),감성적,일반인,0.90%
IG,이득(향상적),이성적,일반인,2.10%
IG,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,2.90%
IG,이득(향상적),감성적,캐릭터,1.50%
IG,손실(예방적),감성적,캐릭터,1.20%
IG,이득(향상적),이성적,일반인,3.70%
IG,이득(향상적),감성적,일반인,2.00%
FB,이득(향상적),이성적,캐릭터,0.60%
IG,이득(향상적),이성적,캐릭터,1.70%
IG,이득(향상적),이성적,전문가,1.20%
IG,이득(향상적),이성적,캐릭터,1.30%
IG,손실(예방적),감성적,캐릭터,3.10%
IG,이득(향상적),감성적,일반인,0.90%
IG,이득(향상적),이성적,캐릭터,0.80%
IG,이득(향상적),이성적,캐릭터,2.80%
IG,손실(예방적),이성적,캐릭터,3.90%
IG,이득(향상적),이성적,전문가,1.10%
IG,이득(향상적),이성적,일반인,1.70%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),이성적,전문가,0.90%
IG,이득(향상적),이성적,전문가,2.50%
FB,이득(향상적),감성적,일반인,3.00%
IG,이득(향상적),감성적,일반인,1.40%
FB,이득(향상적),감성적,일반인,0.40%
IG,이득(향상적),감성적,일반인,0.10%
FB,이득(향상적),감성적,일반인,0.60%
IG,이득(향상적),감성적,일반인,0.10%
IG,이득(향상적),이성적,캐릭터,1.90%
FB,이득(향상적),이성적,캐릭터,2.10%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,1.70%
FB,이득(향상적),이성적,일반인,0.70%
IG,이득(향상적),이성적,전문가,1.60%
FB,이득(향상적),이성적,전문가,1.00%
IG,이득(향상적),이성적,전문가,1.80%
FB,이득(향상적),이성적,전문가,1.50%
IG,이득(향상적),이성적,일반인,1.30%
FB,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,2.50%
FB,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,1.90%
FB,이득(향상적),이성적,일반인,0.50%
IG,이득(향상적),이성적,일반인,1.90%
FB,이득(향상적),이성적,일반인,1.70%
IG,이득(향상적),이성적,일반인,1.70%
IG,이득(향상적),감성적,일반인,3.40%
IG,이득(향상적),이성적,일반인,1.60%
FB,이득(향상적),이성적,일반인,1.90%
IG,이득(향상적),이성적,일반인,1.20%
FB,이득(향상적),이성적,일반인,1.20%
FB,이득(향상적),감성적,일반인,1.10%
IG,이득(향상적),감성적,일반인,2.20%
FB,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,2.50%
FB,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,1.10%
IG,이득(향상적),이성적,캐릭터,1.40%
FB,이득(향상적),이성적,캐릭터,0.80%
IG,손실(예방적),감성적,캐릭터,2.00%
FB,손실(예방적),감성적,캐릭터,1.40%
IG,이득(향상적),감성적,일반인,0.80%
FB,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),감성적,일반인,0.60%
FB,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),이성적,캐릭터,2.90%
FB,이득(향상적),이성적,캐릭터,2.70%
IG,이득(향상적),이성적,캐릭터,1.60%
FB,이득(향상적),이성적,캐릭터,1.50%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.20%
FB,이득(향상적),이성적,전문가,1.20%
IG,이득(향상적),이성적,전문가,1.50%
IG,이득(향상적),이성적,전문가,1.30%
IG,이득(향상적),감성적,일반인,1.50%
FB,이득(향상적),감성적,일반인,2.90%
IG,이득(향상적),감성적,일반인,2.50%
IG,이득(향상적),이성적,일반인,2.30%
IG,이득(향상적),이성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,2.10%
IG,이득(향상적),이성적,일반인,4.20%
IG,이득(향상적),감성적,일반인,2.60%
FB,이득(향상적),이성적,캐릭터,0.60%
IG,이득(향상적),이성적,캐릭터,1.60%
IG,이득(향상적),이성적,전문가,0.60%
IG,이득(향상적),이성적,전문가,0.20%
IG,이득(향상적),이성적,캐릭터,1.20%
IG,손실(예방적),감성적,캐릭터,1.70%
IG,손실(예방적),감성적,일반인,0.30%
IG,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),이성적,캐릭터,1.50%
IG,이득(향상적),이성적,전문가,1.70%
IG,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),이성적,일반인,2.00%
FB,이득(향상적),이성적,일반인,3.00%
IG,이득(향상적),이성적,일반인,0.80%
FB,이득(향상적),감성적,일반인,3.60%
IG,이득(향상적),감성적,일반인,1.20%
FB,이득(향상적),이성적,일반인,2.10%
IG,이득(향상적),이성적,일반인,0.90%
FB,이득(향상적),감성적,일반인,2.00%
IG,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),이성적,캐릭터,1.80%
FB,이득(향상적),이성적,캐릭터,1.60%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,1.90%
FB,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),이성적,전문가,1.40%
FB,이득(향상적),이성적,전문가,1.00%
IG,이득(향상적),감성적,캐릭터,3.60%
IG,이득(향상적),이성적,전문가,1.70%
FB,이득(향상적),이성적,전문가,1.40%
FB,이득(향상적),이성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,0.70%
IG,이득(향상적),감성적,일반인,2.80%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,2.50%
FB,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,2.50%
FB,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),이성적,캐릭터,1.70%
FB,이득(향상적),이성적,캐릭터,0.80%
IG,손실(예방적),감성적,캐릭터,2.10%
FB,손실(예방적),감성적,캐릭터,1.30%
IG,이득(향상적),감성적,전문가,0.40%
IG,이득(향상적),이성적,일반인,1.20%
FB,이득(향상적),이성적,전문가,1.20%
IG,이득(향상적),이성적,전문가,1.50%
IG,이득(향상적),감성적,일반인,2.00%
FB,이득(향상적),감성적,일반인,3.10%
IG,이득(향상적),감성적,일반인,2.70%
IG,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.10%
IG,이득(향상적),이성적,캐릭터,2.10%
FB,이득(향상적),이성적,캐릭터,1.90%
IG,이득(향상적),이성적,일반인,1.70%
IG,이득(향상적),이성적,일반인,1.50%
FB,이득(향상적),이성적,일반인,1.00%
IG,이득(향상적),이성적,전문가,1.60%
FB,이득(향상적),이성적,전문가,1.30%
IG,이득(향상적),감성적,캐릭터,4.30%
FB,이득(향상적),감성적,캐릭터,2.20%
IG,이득(향상적),이성적,전문가,1.80%
FB,이득(향상적),이성적,전문가,1.30%
FB,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,1.00%
FB,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),감성적,일반인,1.50%
FB,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),이성적,일반인,5.10%
FB,이득(향상적),이성적,일반인,2.00%
IG,이득(향상적),이성적,일반인,3.10%
FB,이득(향상적),이성적,캐릭터,1.60%
IG,이득(향상적),이성적,캐릭터,2.30%
IG,이득(향상적),이성적,일반인,1.00%
IG,손실(예방적),감성적,캐릭터,0.80%
IG,손실(예방적),감성적,캐릭터,0.70%
IG,이득(향상적),감성적,일반인,1.70%
FB,이득(향상적),감성적,일반인,2.90%
IG,이득(향상적),감성적,일반인,3.00%
FB,이득(향상적),감성적,전문가,0.50%
IG,이득(향상적),감성적,전문가,0.30%
FB,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,2.80%
IG,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),이성적,캐릭터,2.30%
FB,이득(향상적),이성적,캐릭터,1.90%
IG,이득(향상적),이성적,일반인,2.00%
IG,이득(향상적),감성적,일반인,3.10%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,2.00%
IG,이득(향상적),이성적,일반인,1.50%
FB,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),이성적,전문가,1.80%
FB,이득(향상적),이성적,전문가,1.70%
IG,이득(향상적),감성적,캐릭터,2.80%
FB,이득(향상적),감성적,캐릭터,1.90%
FB,이득(향상적),이성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.60%
FB,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),이성적,일반인,2.00%
IG,손실(예방적),감성적,캐릭터,12.00%
IG,손실(예방적),감성적,캐릭터,0.50%
IG,이득(향상적),감성적,일반인,1.90%
FB,이득(향상적),감성적,일반인,3.50%
IG,이득(향상적),감성적,일반인,3.80%
IG,이득(향상적),감성적,일반인,2.40%
FB,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),감성적,일반인,3.90%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.60%
FB,이득(향상적),감성적,전문가,0.50%
IG,이득(향상적),감성적,전문가,1.00%
FB,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,2.70%
FB,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.90%
IG,이득(향상적),감성적,캐릭터,1.00%
FB,이득(향상적),감성적,캐릭터,0.90%
IG,이득(향상적),감성적,캐릭터,0.60%
FB,이득(향상적),감성적,캐릭터,0.60%
FB,이득(향상적),이성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,0.60%
IG,손실(예방적),감성적,캐릭터,2.80%
IG,손실(예방적),감성적,캐릭터,0.50%
IG,이득(향상적),이성적,일반인,3.10%
FB,이득(향상적),이성적,일반인,0.60%
IG,이득(향상적),이성적,캐릭터,1.30%
FB,이득(향상적),이성적,캐릭터,1.00%
FB,이득(향상적),이성적,일반인,0.40%
IG,이득(향상적),이성적,일반인,1.70%
FB,이득(향상적),이성적,일반인,0.60%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),감성적,캐릭터,1.00%
IG,이득(향상적),감성적,캐릭터,3.00%
IG,이득(향상적),감성적,일반인,2.00%
FB,이득(향상적),감성적,일반인,2.80%
IG,이득(향상적),감성적,일반인,3.90%
IG,이득(향상적),감성적,일반인,2.20%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,3.40%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,1.00%
FB,이득(향상적),감성적,일반인,0.40%
IG,이득(향상적),감성적,일반인,0.70%
FB,이득(향상적),이성적,일반인,0.50%
IG,이득(향상적),이성적,일반인,0.60%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.70%
IG,이득(향상적),감성적,일반인,2.10%
IG,이득(향상적),이성적,일반인,3.10%
FB,이득(향상적),이성적,일반인,1.70%
FB,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,0.80%
FB,이득(향상적),이성적,일반인,0.50%
IG,이득(향상적),감성적,일반인,0.80%
FB,이득(향상적),감성적,일반인,0.30%
IG,손실(예방적),감성적,캐릭터,1.70%
FB,손실(예방적),감성적,캐릭터,0.50%
IG,손실(예방적),감성적,캐릭터,0.80%
FB,손실(예방적),감성적,캐릭터,1.90%
FB,이득(향상적),이성적,일반인,0.50%
IG,이득(향상적),이성적,일반인,2.20%
FB,이득(향상적),이성적,일반인,1.80%
IG,이득(향상적),이성적,일반인,5.80%
FB,이득(향상적),이성적,캐릭터,0.80%
IG,이득(향상적),이성적,캐릭터,0.90%
FB,이득(향상적),이성적,캐릭터,2.00%
IG,이득(향상적),이성적,캐릭터,4.80%
FB,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,4.80%
FB,이득(향상적),감성적,일반인,2.90%
IG,이득(향상적),감성적,일반인,2.20%
FB,이득(향상적),감성적,일반인,2.80%
IG,이득(향상적),감성적,일반인,4.30%
IG,이득(향상적),감성적,일반인,3.00%
FB,이득(향상적),감성적,일반인,1.70%
IG,이득(향상적),감성적,일반인,3.40%
FB,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),이성적,일반인,2.10%
IG,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),이성적,일반인,4.10%
IG,손실(예방적),감성적,캐릭터,3.60%
IG,이득(향상적),감성적,일반인,2.40%
FB,이득(향상적),감성적,일반인,1.70%
IG,이득(향상적),감성적,일반인,2.00%
FB,이득(향상적),이성적,일반인,1.10%
FB,이득(향상적),감성적,일반인,1.20%
IG,손실(예방적),감성적,캐릭터,1.00%
IG,이득(향상적),감성적,일반인,0.40%
FB,이득(향상적),감성적,일반인,0.50%
IG,이득(향상적),감성적,일반인,1.10%
FB,이득(향상적),감성적,일반인,3.20%
IG,이득(향상적),감성적,일반인,2.10%
FB,이득(향상적),감성적,일반인,3.30%
IG,이득(향상적),감성적,일반인,4.30%
IG,이득(향상적),감성적,일반인,2.90%
FB,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,3.10%
FB,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.50%
IG,손실(예방적),감성적,일반인,1.50%
IG,이득(향상적),감성적,일반인,2.00%
IG,이득(향상적),이성적,캐릭터,2.50%
IG,이득(향상적),이성적,일반인,4.20%
IG,손실(예방적),감성적,캐릭터,3.00%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),감성적,일반인,2.40%
FB,손실(예방적),감성적,캐릭터,0.50%
IG,손실(예방적),감성적,캐릭터,0.70%
FB,손실(예방적),감성적,캐릭터,0.80%
IG,손실(예방적),감성적,캐릭터,1.00%
FB,이득(향상적),감성적,일반인,0.60%
IG,이득(향상적),감성적,일반인,0.60%
FB,이득(향상적),감성적,일반인,0.70%
IG,이득(향상적),감성적,일반인,0.70%
FB,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,0.50%
FB,이득(향상적),감성적,일반인,3.60%
IG,이득(향상적),감성적,일반인,2.50%
FB,이득(향상적),감성적,일반인,3.80%
IG,이득(향상적),감성적,일반인,4.20%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.90%
IG,이득(향상적),감성적,일반인,3.70%
FB,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,1.70%
IG,이득(향상적),이성적,일반인,2.20%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,캐릭터,1.20%
IG,이득(향상적),감성적,일반인,0.50%
IG,이득(향상적),이성적,일반인,0.60%
IG,이득(향상적),감성적,일반인,0.70%
IG,이득(향상적),감성적,일반인,3.00%
IG,손실(예방적),감성적,캐릭터,1.60%
IG,이득(향상적),감성적,캐릭터,1.90%
IG,이득(향상적),감성적,일반인,2.20%
IG,이득(향상적),감성적,일반인,1.50%
IG,손실(예방적),감성적,캐릭터,0.90%
IG,이득(향상적),감성적,전문가,0.10%
IG,이득(향상적),감성적,일반인,1.30%
IG,손실(예방적),이성적,캐릭터,1.40%
IG,이득(향상적),이성적,일반인,2.10%
IG,손실(예방적),감성적,일반인,1.60%
IG,이득(향상적),이성적,캐릭터,1.40%
IG,이득(향상적),이성적,일반인,2.60%
IG,손실(예방적),감성적,캐릭터,3.30%
IG,이득(향상적),감성적,일반인,2.30%
FB,이득(향상적),감성적,일반인,2.10%
IG,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),이성적,일반인,1.70%
FB,이득(향상적),이성적,일반인,1.90%
IG,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),이성적,일반인,1.00%
FB,손실(예방적),감성적,캐릭터,0.30%
IG,손실(예방적),감성적,캐릭터,1.10%
FB,손실(예방적),감성적,캐릭터,1.20%
IG,손실(예방적),감성적,캐릭터,2.10%
FB,손실(예방적),감성적,캐릭터,1.10%
IG,손실(예방적),감성적,캐릭터,0.60%
FB,이득(향상적),감성적,일반인,3.80%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,4.00%
IG,이득(향상적),감성적,일반인,4.40%
FB,손실(예방적),감성적,캐릭터,1.60%
IG,손실(예방적),감성적,캐릭터,3.70%
FB,이득(향상적),이성적,일반인,1.80%
IG,이득(향상적),이성적,일반인,2.60%
IG,이득(향상적),감성적,일반인,3.10%
FB,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),감성적,일반인,3.00%
FB,이득(향상적),감성적,일반인,1.10%
IG,이득(향상적),감성적,일반인,2.00%
FB,이득(향상적),이성적,일반인,1.90%
IG,이득(향상적),이성적,일반인,1.60%
FB,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,1.50%
IG,이득(향상적),감성적,캐릭터,0.80%
IG,손실(예방적),이성적,캐릭터,1.50%
IG,손실(예방적),감성적,일반인,1.70%
IG,이득(향상적),이성적,일반인,2.30%
IG,이득(향상적),이성적,캐릭터,2.20%
IG,이득(향상적),이성적,일반인,2.80%
IG,손실(예방적),감성적,캐릭터,1.60%
FB,이득(향상적),감성적,일반인,1.20%
IG,손실(예방적),감성적,캐릭터,1.20%
FB,손실(예방적),감성적,캐릭터,1.20%
IG,이득(향상적),감성적,일반인,2.30%
FB,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,1.60%
FB,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),이성적,일반인,0.70%
FB,이득(향상적),이성적,일반인,0.40%
IG,이득(향상적),이성적,일반인,1.80%
IG,이득(향상적),이성적,일반인,0.70%
FB,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,2.50%
IG,이득(향상적),이성적,일반인,1.00%
IG,이득(향상적),감성적,일반인,1.90%
FB,이득(향상적),감성적,일반인,4.60%
IG,이득(향상적),감성적,일반인,2.50%
FB,이득(향상적),감성적,일반인,5.30%
IG,이득(향상적),감성적,일반인,4.20%
FB,손실(예방적),감성적,캐릭터,1.50%
IG,손실(예방적),감성적,캐릭터,2.90%
FB,손실(예방적),감성적,캐릭터,0.90%
IG,손실(예방적),감성적,캐릭터,1.80%
FB,이득(향상적),이성적,일반인,1.40%
IG,이득(향상적),이성적,일반인,3.10%
FB,이득(향상적),감성적,캐릭터,0.20%
IG,이득(향상적),감성적,캐릭터,1.10%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.80%
IG,이득(향상적),감성적,일반인,2.90%
FB,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.80%
IG,손실(예방적),감성적,캐릭터,1.30%
IG,이득(향상적),이성적,일반인,0.80%
IG,손실(예방적),이성적,캐릭터,1.50%
IG,손실(예방적),감성적,일반인,1.50%
IG,이득(향상적),이성적,일반인,2.30%
Kakao,이득(향상적),이성적,일반인,1.40%
Kakao,손실(예방적),감성적,캐릭터,0.80%
Kakao,손실(예방적),감성적,일반인,0.60%
Kakao,이득(향상적),이성적,일반인,0.60%
Kakao,이득(향상적),이성적,일반인,0.60%
Kakao,이득(향상적),감성적,캐릭터,3.80%
Kakao,이득(향상적),감성적,전문가,0.30%
Kakao,이득(향상적),감성적,일반인,2.40%
Kakao,이득(향상적),이성적,일반인,0.90%
Kakao,이득(향상적),이성적,일반인,3.00%
Kakao,이득(향상적),이성적,일반인,3.10%
Kakao,이득(향상적),감성적,일반인,0.90%
Kakao,이득(향상적),감성적,일반인,4.20%
Kakao,이득(향상적),감성적,일반인,4.30%
Kakao,이득(향상적),감성적,일반인,0.80%
Kakao,이득(향상적),감성적,일반인,1.50%
Kakao,이득(향상적),감성적,캐릭터,1.90%
Kakao,이득(향상적),이성적,일반인,1.10%
Kakao,이득(향상적),이성적,일반인,2.40%
Kakao,이득(향상적),이성적,일반인,1.30%
Kakao,이득(향상적),감성적,일반인,4.80%
Kakao,손실(예방적),감성적,캐릭터,3.20%
Kakao,이득(향상적),이성적,일반인,0.80%
Kakao,이득(향상적),감성적,캐릭터,4.80%
Kakao,이득(향상적),이성적,일반인,1.60%
Kakao,이득(향상적),감성적,일반인,2.90%
Kakao,이득(향상적),이성적,일반인,1.00%
Kakao,이득(향상적),감성적,캐릭터,3.80%
Kakao,이득(향상적),이성적,캐릭터,1.00%
Kakao,이득(향상적),감성적,캐릭터,7.00%
Kakao,이득(향상적),이성적,캐릭터,1.30%
Kakao,이득(향상적),감성적,전문가,4.30%
Kakao,손실(예방적),감성적,캐릭터,5.10%
Kakao,이득(향상적),감성적,일반인,1.30%
Kakao,이득(향상적),이성적,캐릭터,3.40%
Kakao,이득(향상적),이성적,일반인,2.10%
Kakao,이득(향상적),감성적,캐릭터,4.90%
