채널,메시지프레이밍,메시지소구,광고모델, 클릭율 
FB,이득(향상적),감성적,일반인,0.023
IG,이득(향상적),감성적,캐릭터,0.003
IG,손실(예방적),감성적,캐릭터,0.005
IG,이득(향상적),이성적,일반인,0.023
IG,이득(향상적),이성적,일반인,0.064
IG,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),이성적,일반인,0.026
IG,이득(향상적),감성적,일반인,0.012
FB,이득(향상적),이성적,캐릭터,0.007
IG,이득(향상적),이성적,캐릭터,0.016
IG,이득(향상적),이성적,전문가,0.014
IG,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,캐릭터,0.009
FB,이득(향상적),이성적,일반인,0.007
IG,이득(향상적),이성적,일반인,0.004
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.038
FB,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,일반인,0.033
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.024
FB,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,일반인,0.045
IG,이득(향상적),이성적,캐릭터,0.024
IG,이득(향상적),이성적,전문가,0.014
IG,이득(향상적),감성적,일반인,0.019
FB,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.015
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.012
FB,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.018
IG,이득(향상적),이성적,일반인,0.013
IG,이득(향상적),이성적,전문가,0.022
FB,이득(향상적),이성적,전문가,0.015
IG,이득(향상적),이성적,일반인,0.010
FB,이득(향상적),이성적,일반인,0.014
IG,손실(예방적),감성적,일반인,0.047
FB,손실(예방적),감성적,일반인,0.021
IG,손실(예방적),감성적,일반인,0.024
FB,손실(예방적),감성적,일반인,0.012
IG,손실(예방적),감성적,일반인,0.028
FB,손실(예방적),감성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.044
FB,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),감성적,일반인,0.038
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),감성적,일반인,0.016
FB,이득(향상적),이성적,일반인,0.013
IG,이득(향상적),이성적,일반인,0.015
FB,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.022
IG,이득(향상적),이성적,캐릭터,0.020
FB,이득(향상적),이성적,캐릭터,0.010
IG,손실(예방적),감성적,캐릭터,0.026
FB,손실(예방적),감성적,캐릭터,0.017
IG,이득(향상적),이성적,캐릭터,0.041
FB,이득(향상적),이성적,캐릭터,0.030
IG,이득(향상적),이성적,캐릭터,0.026
FB,이득(향상적),이성적,캐릭터,0.023
IG,이득(향상적),이성적,일반인,0.019
FB,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),이성적,전문가,0.018
IG,이득(향상적),이성적,전문가,0.013
IG,이득(향상적),감성적,일반인,0.017
FB,이득(향상적),감성적,일반인,0.028
IG,이득(향상적),감성적,일반인,0.034
IG,이득(향상적),감성적,일반인,0.009
IG,이득(향상적),이성적,일반인,0.021
IG,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.029
IG,이득(향상적),감성적,캐릭터,0.015
IG,손실(예방적),감성적,캐릭터,0.012
IG,이득(향상적),이성적,일반인,0.037
IG,이득(향상적),감성적,일반인,0.020
FB,이득(향상적),이성적,캐릭터,0.006
IG,이득(향상적),이성적,캐릭터,0.017
IG,이득(향상적),이성적,전문가,0.012
IG,이득(향상적),이성적,캐릭터,0.013
IG,손실(예방적),감성적,캐릭터,0.031
IG,이득(향상적),감성적,일반인,0.009
IG,이득(향상적),이성적,캐릭터,0.008
IG,이득(향상적),이성적,캐릭터,0.028
IG,손실(예방적),이성적,캐릭터,0.039
IG,이득(향상적),이성적,전문가,0.011
IG,이득(향상적),이성적,일반인,0.017
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),이성적,전문가,0.009
IG,이득(향상적),이성적,전문가,0.025
FB,이득(향상적),감성적,일반인,0.030
IG,이득(향상적),감성적,일반인,0.014
FB,이득(향상적),감성적,일반인,0.004
IG,이득(향상적),감성적,일반인,0.001
FB,이득(향상적),감성적,일반인,0.006
IG,이득(향상적),감성적,일반인,0.001
IG,이득(향상적),이성적,캐릭터,0.019
FB,이득(향상적),이성적,캐릭터,0.021
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.017
FB,이득(향상적),이성적,일반인,0.007
IG,이득(향상적),이성적,전문가,0.016
FB,이득(향상적),이성적,전문가,0.010
IG,이득(향상적),이성적,전문가,0.018
FB,이득(향상적),이성적,전문가,0.015
IG,이득(향상적),이성적,일반인,0.013
FB,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.025
FB,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.019
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.019
FB,이득(향상적),이성적,일반인,0.017
IG,이득(향상적),이성적,일반인,0.017
IG,이득(향상적),감성적,일반인,0.034
IG,이득(향상적),이성적,일반인,0.016
FB,이득(향상적),이성적,일반인,0.019
IG,이득(향상적),이성적,일반인,0.012
FB,이득(향상적),이성적,일반인,0.012
FB,이득(향상적),감성적,일반인,0.011
IG,이득(향상적),감성적,일반인,0.022
FB,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.025
FB,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.011
IG,이득(향상적),이성적,캐릭터,0.014
FB,이득(향상적),이성적,캐릭터,0.008
IG,손실(예방적),감성적,캐릭터,0.020
FB,손실(예방적),감성적,캐릭터,0.014
IG,이득(향상적),감성적,일반인,0.008
FB,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),감성적,일반인,0.006
FB,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),이성적,캐릭터,0.029
FB,이득(향상적),이성적,캐릭터,0.027
IG,이득(향상적),이성적,캐릭터,0.016
FB,이득(향상적),이성적,캐릭터,0.015
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.012
FB,이득(향상적),이성적,전문가,0.012
IG,이득(향상적),이성적,전문가,0.015
IG,이득(향상적),이성적,전문가,0.013
IG,이득(향상적),감성적,일반인,0.015
FB,이득(향상적),감성적,일반인,0.029
IG,이득(향상적),감성적,일반인,0.025
IG,이득(향상적),이성적,일반인,0.023
IG,이득(향상적),이성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.021
IG,이득(향상적),이성적,일반인,0.042
IG,이득(향상적),감성적,일반인,0.026
FB,이득(향상적),이성적,캐릭터,0.006
IG,이득(향상적),이성적,캐릭터,0.016
IG,이득(향상적),이성적,전문가,0.006
IG,이득(향상적),이성적,전문가,0.002
IG,이득(향상적),이성적,캐릭터,0.012
IG,손실(예방적),감성적,캐릭터,0.017
IG,손실(예방적),감성적,일반인,0.003
IG,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),이성적,캐릭터,0.015
IG,이득(향상적),이성적,전문가,0.017
IG,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),이성적,일반인,0.020
FB,이득(향상적),이성적,일반인,0.030
IG,이득(향상적),이성적,일반인,0.008
FB,이득(향상적),감성적,일반인,0.036
IG,이득(향상적),감성적,일반인,0.012
FB,이득(향상적),이성적,일반인,0.021
IG,이득(향상적),이성적,일반인,0.009
FB,이득(향상적),감성적,일반인,0.020
IG,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),이성적,캐릭터,0.018
FB,이득(향상적),이성적,캐릭터,0.016
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.019
FB,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),이성적,전문가,0.014
FB,이득(향상적),이성적,전문가,0.010
IG,이득(향상적),감성적,캐릭터,0.036
IG,이득(향상적),이성적,전문가,0.017
FB,이득(향상적),이성적,전문가,0.014
FB,이득(향상적),이성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.007
IG,이득(향상적),감성적,일반인,0.028
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.025
FB,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.025
FB,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),이성적,캐릭터,0.017
FB,이득(향상적),이성적,캐릭터,0.008
IG,손실(예방적),감성적,캐릭터,0.021
FB,손실(예방적),감성적,캐릭터,0.013
IG,이득(향상적),감성적,전문가,0.004
IG,이득(향상적),이성적,일반인,0.012
FB,이득(향상적),이성적,전문가,0.012
IG,이득(향상적),이성적,전문가,0.015
IG,이득(향상적),감성적,일반인,0.020
FB,이득(향상적),감성적,일반인,0.031
IG,이득(향상적),감성적,일반인,0.027
IG,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.011
IG,이득(향상적),이성적,캐릭터,0.021
FB,이득(향상적),이성적,캐릭터,0.019
IG,이득(향상적),이성적,일반인,0.017
IG,이득(향상적),이성적,일반인,0.015
FB,이득(향상적),이성적,일반인,0.010
IG,이득(향상적),이성적,전문가,0.016
FB,이득(향상적),이성적,전문가,0.013
IG,이득(향상적),감성적,캐릭터,0.043
FB,이득(향상적),감성적,캐릭터,0.022
IG,이득(향상적),이성적,전문가,0.018
FB,이득(향상적),이성적,전문가,0.013
FB,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.010
FB,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),감성적,일반인,0.015
FB,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),이성적,일반인,0.051
FB,이득(향상적),이성적,일반인,0.020
IG,이득(향상적),이성적,일반인,0.031
FB,이득(향상적),이성적,캐릭터,0.016
IG,이득(향상적),이성적,캐릭터,0.023
IG,이득(향상적),이성적,일반인,0.010
IG,손실(예방적),감성적,캐릭터,0.008
IG,손실(예방적),감성적,캐릭터,0.007
IG,이득(향상적),감성적,일반인,0.017
FB,이득(향상적),감성적,일반인,0.029
IG,이득(향상적),감성적,일반인,0.030
FB,이득(향상적),감성적,전문가,0.005
IG,이득(향상적),감성적,전문가,0.003
FB,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.028
IG,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),이성적,캐릭터,0.023
FB,이득(향상적),이성적,캐릭터,0.019
IG,이득(향상적),이성적,일반인,0.020
IG,이득(향상적),감성적,일반인,0.031
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.020
IG,이득(향상적),이성적,일반인,0.015
FB,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),이성적,전문가,0.018
FB,이득(향상적),이성적,전문가,0.017
IG,이득(향상적),감성적,캐릭터,0.028
FB,이득(향상적),감성적,캐릭터,0.019
FB,이득(향상적),이성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.016
FB,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),이성적,일반인,0.020
IG,손실(예방적),감성적,캐릭터,0.120
IG,손실(예방적),감성적,캐릭터,0.005
IG,이득(향상적),감성적,일반인,0.019
FB,이득(향상적),감성적,일반인,0.035
IG,이득(향상적),감성적,일반인,0.038
IG,이득(향상적),감성적,일반인,0.024
FB,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),감성적,일반인,0.039
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.016
FB,이득(향상적),감성적,전문가,0.005
IG,이득(향상적),감성적,전문가,0.010
FB,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.027
FB,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.019
IG,이득(향상적),감성적,캐릭터,0.010
FB,이득(향상적),감성적,캐릭터,0.009
IG,이득(향상적),감성적,캐릭터,0.006
FB,이득(향상적),감성적,캐릭터,0.006
FB,이득(향상적),이성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.006
IG,손실(예방적),감성적,캐릭터,0.028
IG,손실(예방적),감성적,캐릭터,0.005
IG,이득(향상적),이성적,일반인,0.031
FB,이득(향상적),이성적,일반인,0.006
IG,이득(향상적),이성적,캐릭터,0.013
FB,이득(향상적),이성적,캐릭터,0.010
FB,이득(향상적),이성적,일반인,0.004
IG,이득(향상적),이성적,일반인,0.017
FB,이득(향상적),이성적,일반인,0.006
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),감성적,캐릭터,0.010
IG,이득(향상적),감성적,캐릭터,0.030
IG,이득(향상적),감성적,일반인,0.020
FB,이득(향상적),감성적,일반인,0.028
IG,이득(향상적),감성적,일반인,0.039
IG,이득(향상적),감성적,일반인,0.022
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.034
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.010
FB,이득(향상적),감성적,일반인,0.004
IG,이득(향상적),감성적,일반인,0.007
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.006
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.017
IG,이득(향상적),감성적,일반인,0.021
IG,이득(향상적),이성적,일반인,0.031
FB,이득(향상적),이성적,일반인,0.017
FB,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.008
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),감성적,일반인,0.008
FB,이득(향상적),감성적,일반인,0.003
IG,손실(예방적),감성적,캐릭터,0.017
FB,손실(예방적),감성적,캐릭터,0.005
IG,손실(예방적),감성적,캐릭터,0.008
FB,손실(예방적),감성적,캐릭터,0.019
FB,이득(향상적),이성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.022
FB,이득(향상적),이성적,일반인,0.018
IG,이득(향상적),이성적,일반인,0.058
FB,이득(향상적),이성적,캐릭터,0.008
IG,이득(향상적),이성적,캐릭터,0.009
FB,이득(향상적),이성적,캐릭터,0.020
IG,이득(향상적),이성적,캐릭터,0.048
FB,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.048
FB,이득(향상적),감성적,일반인,0.029
IG,이득(향상적),감성적,일반인,0.022
FB,이득(향상적),감성적,일반인,0.028
IG,이득(향상적),감성적,일반인,0.043
IG,이득(향상적),감성적,일반인,0.030
FB,이득(향상적),감성적,일반인,0.017
IG,이득(향상적),감성적,일반인,0.034
FB,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),이성적,일반인,0.021
IG,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),이성적,일반인,0.041
IG,손실(예방적),감성적,캐릭터,0.036
IG,이득(향상적),감성적,일반인,0.024
FB,이득(향상적),감성적,일반인,0.017
IG,이득(향상적),감성적,일반인,0.020
FB,이득(향상적),이성적,일반인,0.011
FB,이득(향상적),감성적,일반인,0.012
IG,손실(예방적),감성적,캐릭터,0.010
IG,이득(향상적),감성적,일반인,0.004
FB,이득(향상적),감성적,일반인,0.005
IG,이득(향상적),감성적,일반인,0.011
FB,이득(향상적),감성적,일반인,0.032
IG,이득(향상적),감성적,일반인,0.021
FB,이득(향상적),감성적,일반인,0.033
IG,이득(향상적),감성적,일반인,0.043
IG,이득(향상적),감성적,일반인,0.029
FB,이득(향상적),감성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.031
FB,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.015
IG,손실(예방적),감성적,일반인,0.015
IG,이득(향상적),감성적,일반인,0.020
IG,이득(향상적),이성적,캐릭터,0.025
IG,이득(향상적),이성적,일반인,0.042
IG,손실(예방적),감성적,캐릭터,0.030
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),감성적,일반인,0.024
FB,손실(예방적),감성적,캐릭터,0.005
IG,손실(예방적),감성적,캐릭터,0.007
FB,손실(예방적),감성적,캐릭터,0.008
IG,손실(예방적),감성적,캐릭터,0.010
FB,이득(향상적),감성적,일반인,0.006
IG,이득(향상적),감성적,일반인,0.006
FB,이득(향상적),감성적,일반인,0.007
IG,이득(향상적),감성적,일반인,0.007
FB,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.005
FB,이득(향상적),감성적,일반인,0.036
IG,이득(향상적),감성적,일반인,0.025
FB,이득(향상적),감성적,일반인,0.038
IG,이득(향상적),감성적,일반인,0.042
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.019
IG,이득(향상적),감성적,일반인,0.037
FB,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.017
IG,이득(향상적),이성적,일반인,0.022
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,캐릭터,0.012
IG,이득(향상적),감성적,일반인,0.005
IG,이득(향상적),이성적,일반인,0.006
IG,이득(향상적),감성적,일반인,0.007
IG,이득(향상적),감성적,일반인,0.030
IG,손실(예방적),감성적,캐릭터,0.016
IG,이득(향상적),감성적,캐릭터,0.019
IG,이득(향상적),감성적,일반인,0.022
IG,이득(향상적),감성적,일반인,0.015
IG,손실(예방적),감성적,캐릭터,0.009
IG,이득(향상적),감성적,전문가,0.001
IG,이득(향상적),감성적,일반인,0.013
IG,손실(예방적),이성적,캐릭터,0.014
IG,이득(향상적),이성적,일반인,0.021
IG,손실(예방적),감성적,일반인,0.016
IG,이득(향상적),이성적,캐릭터,0.014
IG,이득(향상적),이성적,일반인,0.026
IG,손실(예방적),감성적,캐릭터,0.033
IG,이득(향상적),감성적,일반인,0.023
FB,이득(향상적),감성적,일반인,0.021
IG,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),이성적,일반인,0.017
FB,이득(향상적),이성적,일반인,0.019
IG,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),이성적,일반인,0.010
FB,손실(예방적),감성적,캐릭터,0.003
IG,손실(예방적),감성적,캐릭터,0.011
FB,손실(예방적),감성적,캐릭터,0.012
IG,손실(예방적),감성적,캐릭터,0.021
FB,손실(예방적),감성적,캐릭터,0.011
IG,손실(예방적),감성적,캐릭터,0.006
FB,이득(향상적),감성적,일반인,0.038
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.040
IG,이득(향상적),감성적,일반인,0.044
FB,손실(예방적),감성적,캐릭터,0.016
IG,손실(예방적),감성적,캐릭터,0.037
FB,이득(향상적),이성적,일반인,0.018
IG,이득(향상적),이성적,일반인,0.026
IG,이득(향상적),감성적,일반인,0.031
FB,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),감성적,일반인,0.030
FB,이득(향상적),감성적,일반인,0.011
IG,이득(향상적),감성적,일반인,0.020
FB,이득(향상적),이성적,일반인,0.019
IG,이득(향상적),이성적,일반인,0.016
FB,이득(향상적),감성적,일반인,0.014
IG,이득(향상적),감성적,일반인,0.015
IG,이득(향상적),감성적,캐릭터,0.008
IG,손실(예방적),이성적,캐릭터,0.015
IG,손실(예방적),감성적,일반인,0.017
IG,이득(향상적),이성적,일반인,0.023
IG,이득(향상적),이성적,캐릭터,0.022
IG,이득(향상적),이성적,일반인,0.028
IG,손실(예방적),감성적,캐릭터,0.016
FB,이득(향상적),감성적,일반인,0.012
IG,손실(예방적),감성적,캐릭터,0.012
FB,손실(예방적),감성적,캐릭터,0.012
IG,이득(향상적),감성적,일반인,0.023
FB,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.016
FB,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),이성적,일반인,0.007
FB,이득(향상적),이성적,일반인,0.004
IG,이득(향상적),이성적,일반인,0.018
IG,이득(향상적),이성적,일반인,0.007
FB,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.025
IG,이득(향상적),이성적,일반인,0.010
IG,이득(향상적),감성적,일반인,0.019
FB,이득(향상적),감성적,일반인,0.046
IG,이득(향상적),감성적,일반인,0.025
FB,이득(향상적),감성적,일반인,0.053
IG,이득(향상적),감성적,일반인,0.042
FB,손실(예방적),감성적,캐릭터,0.015
IG,손실(예방적),감성적,캐릭터,0.029
FB,손실(예방적),감성적,캐릭터,0.009
IG,손실(예방적),감성적,캐릭터,0.018
FB,이득(향상적),이성적,일반인,0.014
IG,이득(향상적),이성적,일반인,0.031
FB,이득(향상적),감성적,캐릭터,0.002
IG,이득(향상적),감성적,캐릭터,0.011
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.018
IG,이득(향상적),감성적,일반인,0.029
FB,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.018
IG,손실(예방적),감성적,캐릭터,0.013
IG,이득(향상적),이성적,일반인,0.008
IG,손실(예방적),이성적,캐릭터,0.015
IG,손실(예방적),감성적,일반인,0.015
IG,이득(향상적),이성적,일반인,0.023
Kakao,이득(향상적),이성적,일반인,0.014
Kakao,손실(예방적),감성적,캐릭터,0.008
Kakao,손실(예방적),감성적,일반인,0.006
Kakao,이득(향상적),이성적,일반인,0.006
Kakao,이득(향상적),이성적,일반인,0.006
Kakao,이득(향상적),감성적,캐릭터,0.038
Kakao,이득(향상적),감성적,전문가,0.003
Kakao,이득(향상적),감성적,일반인,0.024
Kakao,이득(향상적),이성적,일반인,0.009
Kakao,이득(향상적),이성적,일반인,0.030
Kakao,이득(향상적),이성적,일반인,0.031
Kakao,이득(향상적),감성적,일반인,0.009
Kakao,이득(향상적),감성적,일반인,0.042
Kakao,이득(향상적),감성적,일반인,0.043
Kakao,이득(향상적),감성적,일반인,0.008
Kakao,이득(향상적),감성적,일반인,0.015
Kakao,이득(향상적),감성적,캐릭터,0.019
Kakao,이득(향상적),이성적,일반인,0.011
Kakao,이득(향상적),이성적,일반인,0.024
Kakao,이득(향상적),이성적,일반인,0.013
Kakao,이득(향상적),감성적,일반인,0.048
Kakao,손실(예방적),감성적,캐릭터,0.032
Kakao,이득(향상적),이성적,일반인,0.008
Kakao,이득(향상적),감성적,캐릭터,0.048
Kakao,이득(향상적),이성적,일반인,0.016
Kakao,이득(향상적),감성적,일반인,0.029
Kakao,이득(향상적),이성적,일반인,0.010
Kakao,이득(향상적),감성적,캐릭터,0.038
Kakao,이득(향상적),이성적,캐릭터,0.010
Kakao,이득(향상적),감성적,캐릭터,0.070
Kakao,이득(향상적),이성적,캐릭터,0.013
Kakao,이득(향상적),감성적,전문가,0.043
Kakao,손실(예방적),감성적,캐릭터,0.051
Kakao,이득(향상적),감성적,일반인,0.013
Kakao,이득(향상적),이성적,캐릭터,0.034
Kakao,이득(향상적),이성적,일반인,0.021
Kakao,이득(향상적),감성적,캐릭터,0.049
Kakao,이득(향상적),감성적,캐릭터,0.010
Kakao,이득(향상적),이성적,캐릭터,0.051
Kakao,이득(향상적),감성적,일반인,0.005
Kakao,이득(향상적),이성적,일반인,0.043
Kakao,이득(향상적),감성적,일반인,0.015
Kakao,이득(향상적),감성적,일반인,0.059
Kakao,이득(향상적),감성적,일반인,0.023
Kakao,손실(예방적),감성적,캐릭터,0.010
Kakao,이득(향상적),감성적,캐릭터,0.058
Kakao,이득(향상적),이성적,일반인,0.013
Kakao,이득(향상적),감성적,캐릭터,0.038
Kakao,이득(향상적),감성적,캐릭터,0.014
Kakao,이득(향상적),감성적,캐릭터,0.028
Kakao,이득(향상적),감성적,캐릭터,0.008
Kakao,이득(향상적),감성적,일반인,0.029
Kakao,이득(향상적),감성적,캐릭터,0.013
Kakao,이득(향상적),감성적,일반인,0.017
Kakao,이득(향상적),감성적,일반인,0.075
Kakao,이득(향상적),감성적,일반인,0.023
Kakao,이득(향상적),감성적,일반인,0.069
Kakao,이득(향상적),감성적,일반인,0.012
Kakao,이득(향상적),감성적,캐릭터,0.065
Kakao,이득(향상적),감성적,캐릭터,0.008
Kakao,이득(향상적),감성적,일반인,0.063
